time,fco2,fco2_std,lat1,lat2,lon1,lon2,
2013-10-06,354.608680042,22.6099139287,-36.98,51.65,-173.85,-23.95,
2013-10-07,377.262372592,5.22226507698,-36.98,51.65,-173.85,-23.95,
2013-10-08,369.644403211,24.8084087737,-36.98,51.65,-173.85,-23.95,
2013-10-09,355.378564811,47.0251564071,-36.98,51.65,-173.85,-23.95,
2013-10-10,338.933135957,2.99853272532,-36.98,51.65,-173.85,-23.95,
2013-10-11,343.081981315,3.6464085002,-36.98,51.65,-173.85,-23.95,
2013-10-12,,,-36.98,51.65,-173.85,-23.95,
2013-10-13,,,-36.98,51.65,-173.85,-23.95,
2013-10-14,,,-36.98,51.65,-173.85,-23.95,
2013-10-15,,,-36.98,51.65,-173.85,-23.95,
2013-10-16,,,-36.98,51.65,-173.85,-23.95,
2013-10-17,399.530308229,9.97782582206,-36.98,51.65,-173.85,-23.95,
2013-10-18,417.607974815,38.3350193363,-36.98,51.65,-173.85,-23.95,
